evento,descrizione_evento,delta_y,delta_y_bp,delta_V,L,E_L_cond_G_hat
A1,Disinflazione ordinata,-0.0005893059139521787,-5.893059139521787,35358.354837130726,-35358.354837130726,-57804.18736968874
A1,Disinflazione ordinata,0.00398023612896263,39.802361289626305,-238814.16773775782,238814.16773775782,-57804.18736968874
A2,Inflazione persistente,-0.004535550313943624,-45.35550313943624,272133.0188366174,-272133.0188366174,181993.39718483502
A2,Inflazione persistente,-0.004663407313779475,-46.63407313779475,279804.4388267685,-279804.4388267685,181993.39718483502
A2,Inflazione persistente,0.009083910344526167,90.83910344526167,-545034.6206715701,545034.6206715701,181993.39718483502
A1,Disinflazione ordinata,0.002129129560252824,21.29129560252824,-127747.77361516946,127747.77361516946,-57804.18736968874
A2,Inflazione persistente,0.00433115676505725,43.3115676505725,-259869.40590343502,259869.40590343502,181993.39718483502
A1,Disinflazione ordinata,-0.00030315045077243855,-3.0315045077243856,18189.027046346313,-18189.027046346313,-57804.18736968874
A2,Inflazione persistente,0.0019320376033772394,19.320376033772394,-115922.25620263437,115922.25620263437,181993.39718483502
A3,Repricing severo,0.009957964964673875,99.57964964673876,-597477.8978804325,597477.8978804325,605230.726541648
A1,Disinflazione ordinata,-0.00449092951306999,-44.9092951306999,269455.7707841994,-269455.7707841994,-57804.18736968874
A3,Repricing severo,0.016002501440578402,160.02501440578402,-960150.0864347041,960150.0864347041,605230.726541648
A2,Inflazione persistente,-0.008548061492420753,-85.48061492420753,512883.68954524514,-512883.68954524514,181993.39718483502
A1,Disinflazione ordinata,0.0013869628924288876,13.869628924288875,-83217.77354573326,83217.77354573326,-57804.18736968874
A2,Inflazione persistente,0.00025878870798658497,2.5878870798658498,-15527.322479195098,15527.322479195098,181993.39718483502
A3,Repricing severo,0.007820472529553129,78.20472529553129,-469228.35177318775,469228.35177318775,605230.726541648
A2,Inflazione persistente,0.004288132535309426,42.88132535309426,-257287.95211856556,257287.95211856556,181993.39718483502
A1,Disinflazione ordinata,-0.006964896581329781,-69.6489658132978,417893.79487978684,-417893.79487978684,-57804.18736968874
A2,Inflazione persistente,0.005631933692975851,56.31933692975851,-337916.02157855104,337916.02157855104,181993.39718483502
A1,Disinflazione ordinata,0.0015428108748141043,15.428108748141044,-92568.65248884626,92568.65248884626,-57804.18736968874
A1,Disinflazione ordinata,0.007964774559183038,79.64774559183037,-477886.47355098225,477886.47355098225,-57804.18736968874
A1,Disinflazione ordinata,-0.003421661512577718,-34.21661512577718,205299.69075466308,-205299.69075466308,-57804.18736968874
A1,Disinflazione ordinata,0.00589766227619688,58.9766227619688,-353859.7365718128,353859.7365718128,-57804.18736968874
A2,Inflazione persistente,0.00042537008532342975,4.253700853234298,-25522.205119405786,25522.205119405786,181993.39718483502
A1,Disinflazione ordinata,0.006156749460153522,61.567494601535216,-369404.9676092113,369404.9676092113,-57804.18736968874
A3,Repricing severo,0.004725163653841072,47.251636538410715,-283509.8192304643,283509.8192304643,605230.726541648
A1,Disinflazione ordinata,-0.008745722936097725,-87.45722936097725,524743.3761658635,-524743.3761658635,-57804.18736968874
A1,Disinflazione ordinata,0.0007145866230092964,7.145866230092964,-42875.19738055779,42875.19738055779,-57804.18736968874
A1,Disinflazione ordinata,-0.007003661779523804,-70.03661779523803,420219.70677142823,-420219.70677142823,-57804.18736968874
A2,Inflazione persistente,0.0020619072629444127,20.619072629444126,-123714.43577666476,123714.43577666476,181993.39718483502
A3,Repricing severo,0.007231322695484277,72.31322695484278,-433879.36172905663,433879.36172905663,605230.726541648
A2,Inflazione persistente,0.006419688827640692,64.19688827640692,-385181.32965844154,385181.32965844154,181993.39718483502
A3,Repricing severo,-0.001872138026280305,-18.72138026280305,112328.28157681829,-112328.28157681829,605230.726541648
A2,Inflazione persistente,-0.005719007033522805,-57.19007033522805,343140.4220113683,-343140.4220113683,181993.39718483502
A3,Repricing severo,0.015487512560340422,154.87512560340423,-929250.7536204254,929250.7536204254,605230.726541648
A3,Repricing severo,-0.0053979097699436394,-53.979097699436394,323874.5861966184,-323874.5861966184,605230.726541648
