soglia_l,prob_superamento_empirica,monotonia_non_crescente
0.0,0.46974,True
0.25,0.43028,True
0.5,0.3908,True
0.75,0.3543,True
1.0,0.31886,True
1.25,0.2873,True
1.5,0.2589,True
1.75,0.23348,True
2.0,0.2093,True
2.25,0.18846,True
2.5,0.1694,True
2.75,0.15408,True
3.0,0.13996,True
3.25,0.12752,True
3.5,0.11702,True
3.75,0.1073,True
4.0,0.09874,True
4.25,0.0916,True
4.5,0.08522,True
4.75,0.0795,True
5.0,0.07496,True
5.25,0.0702,True
5.5,0.0658,True
5.75,0.06182,True
6.0,0.05814,True
6.25,0.05508,True
6.5,0.05226,True
6.75,0.04908,True
7.0,0.0464,True
7.25,0.04394,True
7.5,0.04144,True
7.75,0.03918,True
8.0,0.03696,True
8.25,0.03522,True
8.5,0.03288,True
8.75,0.03082,True
9.0,0.02886,True
9.25,0.0271,True
9.5,0.02594,True
9.75,0.0242,True
10.0,0.0227,True
10.25,0.02122,True
10.5,0.02002,True
10.75,0.01884,True
11.0,0.0176,True
11.25,0.01682,True
11.5,0.01566,True
11.75,0.01496,True
12.0,0.01418,True
12.25,0.01328,True
12.5,0.01244,True
12.75,0.01184,True
13.0,0.01114,True
13.25,0.01042,True
13.5,0.00972,True
13.75,0.00902,True
14.0,0.00846,True
14.25,0.00782,True
14.5,0.00744,True
14.75,0.00702,True
15.0,0.0066,True
