scenario,stato,mu,sigma,R,L,perdita_positiva,E_L_cond_G,stato_grossolano,E_L_cond_G1,E_L_cond_G2
1,N,0.004,0.02,0.0212922071802686,-2.12922071802686,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
2,N,0.004,0.02,-0.010223806161469852,1.022380616146985,True,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
3,N,0.004,0.02,0.03002315264006245,-3.0023152640062447,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
4,V,-0.006,0.045,0.0027831711022038817,-0.2783171102203882,False,0.5547623012919849,non normale,1.3685731602787967,0.5547623012919849
5,N,0.004,0.02,0.02242261240592348,-2.242261240592348,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
6,V,-0.006,0.045,-0.06880279666852902,6.8802796668529025,True,0.5547623012919849,non normale,1.3685731602787967,0.5547623012919849
7,N,0.004,0.02,0.02345938373861518,-2.345938373861518,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
8,N,0.004,0.02,0.0041445041644351255,-0.41445041644351255,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
9,N,0.004,0.02,-0.006128144342585644,0.6128144342585644,True,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
10,N,0.004,0.02,0.016909082740123167,-1.6909082740123167,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
11,N,0.004,0.02,0.00775269568101335,-0.7752695681013351,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
12,N,0.004,0.02,0.016312684756134337,-1.6312684756134337,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
13,N,0.004,0.02,0.035418743462830804,-3.5418743462830804,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
14,V,-0.006,0.045,-0.01047205944419391,1.047205944419391,True,0.5547623012919849,non normale,1.3685731602787967,0.5547623012919849
15,N,0.004,0.02,0.005960270416841466,-0.5960270416841466,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
16,N,0.004,0.02,0.015850601096207995,-1.5850601096207995,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
17,N,0.004,0.02,0.03226449250132915,-3.226449250132915,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
18,S,-0.03,0.08,0.0035079104365896494,-0.35079104365896496,False,2.9729202087153217,non normale,1.3685731602787967,2.9729202087153217
19,N,0.004,0.02,0.05216182015784655,-5.216182015784655,False,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
20,N,0.004,0.02,-0.004902272598826769,0.49022725988267685,True,-0.4030397496040671,normale,-0.4030397496040671,-0.4030397496040671
